岗位ID,发布日期,年月,城市,城市等级,行业,岗位名称,劳动类型,技能方向,结算方式,时薪_元,参考日薪_元,预计月收入_元,每周工时,招聘人数,岗位热度指数,远程办公,经验要求,学历要求,技能门槛_1至5,成长潜力_1至5,高考毕业生适配,培训后可胜任,企业名称,企业类型,公司规模,数据性质,薪资口径说明
PT202501006604,2025-01-01,2025-01,上海,一线,企业服务,自动化脚本开发,脑力劳动,Python,项目结,109.2,655,11821,25,2,76.2,否,有作品集优先,高中/中专及以上,4,4,需培训后,是,博思数字创意有限公司,教育机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501007240,2025-01-01,2025-01,北京,一线,电子商务,电商数据分析助理,脑力劳动,Python,项目结,134.3,1074,8723,15,3,74.3,否,有作品集优先,高中/中专及以上,4,5,需培训后,是,明途文化传媒有限公司,创业团队,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501008149,2025-01-01,2025-01,北京,一线,会展活动,活动执行助理,体力劳动,基础服务,日结,33.7,135,3064,21,6,68.8,否,无需经验,不限,2,3,是,是,晨光数字创意有限公司,创业团队,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501008611,2025-01-01,2025-01,苏州,新一线,教育科技,AI学习工具开发助理,脑力劳动,Python+AIGC,项目结,192.6,1541,14177,17,1,97.5,否,有课程项目经验,不限,4,4,需培训后,部分,未来教育有限公司,民营企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501008832,2025-01-01,2025-01,武汉,新一线,本地生活,搬运协助员,体力劳动,基础服务,日结,28.6,172,1858,15,6,53.1,否,无需经验,不限,1,1,是,是,新橙教育有限公司,创业团队,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501010195,2025-01-01,2025-01,北京,一线,知识服务,RAG知识库项目助理,脑力劳动,Python+AIGC,项目结,269.7,1618,28027,24,2,96.5,是,有课程项目经验,大专及以上,5,5,需培训后,是,知行教育有限公司,民营企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501012460,2025-01-01,2025-01,合肥,二线,文旅服务,景区引导员,体力劳动,基础服务,日结,23.4,94,3040,30,8,62.2,否,无需经验,高中/中专及以上,2,1,是,是,星河数字创意有限公司,互联网企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501013778,2025-01-01,2025-01,广州,一线,数字营销,AIGC内容运营,脑力劳动,AIGC,周结,153.1,612,5966,9,2,82.3,是,有课程项目经验,高中/中专及以上,5,4,需培训后,是,新橙数字创意有限公司,数字营销公司,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501015118,2025-01-01,2025-01,苏州,新一线,本地生活,校园配送员,体力劳动,基础服务,日结,25.7,154,1669,15,4,48.0,否,有相关经验优先,不限,2,2,是,是,新橙教育有限公司,人力服务机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501015398,2025-01-01,2025-01,深圳,一线,商超零售,门店促销员,体力劳动,基础服务,日结,34.4,206,2383,16,2,72.5,否,有相关经验优先,高中/中专及以上,2,3,是,是,海纳企业服务有限公司,教育机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501015522,2025-01-01,2025-01,南京,新一线,教育科技,AI课件制作助理,脑力劳动,AIGC,项目结,106.9,428,6943,15,1,90.7,是,无需经验,大专及以上,4,5,是,是,数创文化传媒有限公司,民营企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501017440,2025-01-01,2025-01,昆明,二线,文化传媒,短视频剪辑助理,脑力劳动,普通数字岗位,项目结,44.7,268,5226,27,2,67.3,否,有作品优先,高中/中专及以上,2,2,是,是,明途数字创意有限公司,互联网企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501018367,2025-01-01,2025-01,苏州,新一线,游戏动漫,AI角色素材制作,脑力劳动,AIGC,项目结,125.9,504,11993,22,4,80.6,是,有课程项目经验,高中/中专及以上,5,5,需培训后,是,晨光文化传媒有限公司,人力服务机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501018559,2025-01-01,2025-01,深圳,一线,电子商务,AI商品图设计,脑力劳动,AIGC,周结,120.5,964,7305,14,1,80.5,否,有作品集优先,高中/中专及以上,3,4,需培训后,部分,远望科技有限公司,人力服务机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501018648,2025-01-01,2025-01,杭州,新一线,企业服务,AI数据分析应用助理,脑力劳动,Python+AIGC,项目结,268.4,2147,24406,21,3,94.1,是,有课程项目经验,高中/中专及以上,5,4,需培训后,是,智谷电子商务有限公司,教育机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501018836,2025-01-01,2025-01,济南,二线,知识服务,RAG知识库项目助理,脑力劳动,Python+AIGC,周结,159.0,636,6196,9,1,81.5,是,无需经验,大专及以上,5,4,需培训后,是,知行网络技术有限公司,教育机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501019162,2025-01-01,2025-01,合肥,二线,教育科技,Python编程助教,脑力劳动,Python,项目结,75.7,606,5900,18,4,72.5,否,有课程项目经验,高中/中专及以上,4,5,是,是,未来网络技术有限公司,数字营销公司,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501019822,2025-01-01,2025-01,南昌,二线,软件开发,大模型API接入助理,脑力劳动,Python+AIGC,小时结,145.0,870,7534,12,1,80.6,是,无需经验,高中/中专及以上,5,4,是,是,博思文化传媒有限公司,互联网企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501020175,2025-01-01,2025-01,济南,二线,短视频,AI视频制作助理,脑力劳动,AIGC,周结,115.3,692,7988,16,5,87.1,是,有课程项目经验,高中/中专及以上,3,5,需培训后,是,启航文化传媒有限公司,互联网企业,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501020236,2025-01-01,2025-01,苏州,新一线,广告设计,平面素材处理助理,脑力劳动,普通数字岗位,项目结,51.2,307,4212,19,3,69.6,否,有相关经验优先,不限,3,2,是,是,新橙数字创意有限公司,教育机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501020364,2025-01-01,2025-01,石家庄,二线,广告设计,平面素材处理助理,脑力劳动,普通数字岗位,项目结,33.5,268,2901,20,4,58.6,是,无需经验,不限,1,3,是,是,晨光数字创意有限公司,创业团队,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501020497,2025-01-01,2025-01,上海,一线,电子商务,电商数据分析助理,脑力劳动,Python,小时结,144.0,576,13717,22,1,87.3,否,有课程项目经验,高中/中专及以上,3,5,需培训后,是,青禾教育有限公司,数字营销公司,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501020777,2025-01-01,2025-01,郑州,二线,教育服务,线上课程助教,脑力劳动,普通数字岗位,小时结,31.9,128,3729,27,2,54.1,否,有作品优先,高中/中专及以上,2,3,是,是,灵犀教育有限公司,教育机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501021336,2025-01-01,2025-01,济南,二线,物流仓储,仓库分拣员,体力劳动,基础服务,日结,29.5,236,3321,26,7,71.3,否,有相关经验优先,不限,2,3,是,是,晨光文化传媒有限公司,互联网企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501021418,2025-01-01,2025-01,昆明,二线,文化传媒,批量内容生成工具开发,脑力劳动,Python+AIGC,项目结,151.8,1214,12489,19,5,85.1,否,有作品集优先,大专及以上,5,4,需培训后,部分,未来文化传媒有限公司,互联网企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501022662,2025-01-01,2025-01,武汉,新一线,文旅服务,景区引导员,体力劳动,基础服务,周结,28.3,226,3676,30,5,57.3,否,无需经验,高中/中专及以上,2,2,是,是,晨光科技有限公司,创业团队,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501023030,2025-01-01,2025-01,长沙,新一线,商超零售,商超理货员,体力劳动,基础服务,日结,31.8,127,3993,29,4,54.9,否,无需经验,不限,1,3,是,是,远望网络技术有限公司,数字营销公司,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501024607,2025-01-01,2025-01,合肥,二线,会展活动,展会协助员,体力劳动,基础服务,小时结,22.5,135,1948,20,2,61.2,否,有相关经验优先,不限,2,1,是,是,博思电子商务有限公司,教育机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501025274,2025-01-01,2025-01,郑州,二线,客户服务,在线客服,脑力劳动,普通数字岗位,项目结,31.8,254,2478,18,3,76.3,否,无需经验,高中/中专及以上,3,3,是,是,极光数字创意有限公司,数字营销公司,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501025308,2025-01-01,2025-01,上海,一线,数据服务,公开数据采集助理,脑力劳动,Python,项目结,128.2,769,7216,13,1,85.5,否,有作品集优先,大专及以上,3,5,是,部分,新橙数字创意有限公司,人力服务机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501025879,2025-01-01,2025-01,石家庄,二线,电子商务,电商数据分析助理,脑力劳动,Python,小时结,80.4,482,5222,15,4,85.2,否,有课程项目经验,大专及以上,4,3,需培训后,是,晨光网络技术有限公司,数字营销公司,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501025924,2025-01-01,2025-01,深圳,一线,数字人,数字人内容运营,脑力劳动,AIGC,项目结,115.6,462,10011,20,1,87.1,是,有作品集优先,高中/中专及以上,3,5,需培训后,是,新橙数字创意有限公司,数字营销公司,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501026044,2025-01-01,2025-01,南京,新一线,电子商务,智能选品工具开发,脑力劳动,Python+AIGC,项目结,151.6,910,7221,11,5,91.6,是,有课程项目经验,高中/中专及以上,5,4,是,是,新域网络技术有限公司,教育机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501027722,2025-01-01,2025-01,合肥,二线,文化传媒,短视频剪辑助理,脑力劳动,普通数字岗位,项目结,33.0,198,2572,18,3,71.3,否,无需经验,大专及以上,2,3,是,是,星河信息服务有限公司,教育机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501029458,2025-01-01,2025-01,重庆,新一线,品牌营销,AI创意策划助理,脑力劳动,AIGC,项目结,119.4,955,8789,17,5,84.8,是,有课程项目经验,高中/中专及以上,3,5,需培训后,是,云图电子商务有限公司,民营企业,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501029596,2025-01-01,2025-01,苏州,新一线,教育科技,Python编程助教,脑力劳动,Python,小时结,109.6,438,8542,18,2,85.8,否,有作品集优先,不限,4,3,需培训后,部分,星河信息服务有限公司,互联网企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501000332,2025-01-02,2025-01,济南,二线,餐饮,餐厅服务员,体力劳动,基础服务,小时结,34.0,204,4417,30,5,51.9,否,无需经验,不限,2,3,是,是,青禾科技有限公司,人力服务机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501000961,2025-01-02,2025-01,杭州,新一线,电子商务,电商数据分析助理,脑力劳动,Python,周结,91.0,364,7093,18,5,87.8,否,有课程项目经验,不限,4,4,需培训后,是,远望企业服务有限公司,创业团队,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501004408,2025-01-02,2025-01,济南,二线,数据服务,Python数据清洗助理,脑力劳动,Python,项目结,68.8,550,6554,22,4,66.0,否,有课程项目经验,高中/中专及以上,3,3,需培训后,是,灵犀教育有限公司,人力服务机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501004686,2025-01-02,2025-01,深圳,一线,企业服务,智能客服搭建助理,脑力劳动,Python+AIGC,项目结,204.5,1227,22137,25,4,82.6,是,有课程项目经验,不限,4,5,需培训后,是,灵犀科技有限公司,人力服务机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501005628,2025-01-02,2025-01,合肥,二线,教育服务,线上课程助教,脑力劳动,普通数字岗位,周结,37.3,149,4522,28,2,65.6,是,无需经验,不限,3,2,是,是,智谷数字创意有限公司,数字营销公司,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501005790,2025-01-02,2025-01,长沙,新一线,本地生活,搬运协助员,体力劳动,基础服务,小时结,28.1,112,2798,23,7,56.9,否,无需经验,不限,2,2,是,是,启航教育有限公司,教育机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501006332,2025-01-02,2025-01,南京,新一线,数字营销,AIGC内容运营,脑力劳动,AIGC,项目结,96.5,772,4178,10,1,77.4,是,无需经验,高中/中专及以上,4,5,是,是,方舟信息服务有限公司,人力服务机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501006361,2025-01-02,2025-01,重庆,新一线,企业服务,自动化脚本开发,脑力劳动,Python,项目结,85.3,341,8126,22,5,67.5,否,有课程项目经验,高中/中专及以上,3,4,需培训后,是,启航信息服务有限公司,数字营销公司,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501006587,2025-01-02,2025-01,昆明,二线,餐饮,餐厅服务员,体力劳动,基础服务,日结,28.0,224,3758,31,1,70.3,否,有相关经验优先,不限,1,1,是,是,智谷文化传媒有限公司,数字营销公司,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501006801,2025-01-02,2025-01,石家庄,二线,文化传媒,AI文案创作助理,脑力劳动,AIGC,项目结,102.9,617,6238,14,2,90.5,是,有课程项目经验,大专及以上,3,4,需培训后,是,星河教育有限公司,创业团队,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501007562,2025-01-02,2025-01,昆明,二线,市场调研,问卷数据整理员,脑力劳动,普通数字岗位,项目结,41.0,246,4971,28,4,57.2,是,有作品优先,不限,3,3,是,是,方舟文化传媒有限公司,数字营销公司,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501008094,2025-01-02,2025-01,西安,新一线,教育服务,教室管理助理,体力劳动,基础服务,日结,27.8,222,2769,23,6,53.1,否,无需经验,不限,2,2,是,是,海纳教育有限公司,教育机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501008541,2025-01-02,2025-01,杭州,新一线,办公服务,表格数据处理员,脑力劳动,普通数字岗位,项目结,50.4,202,4365,20,5,72.5,否,有相关经验优先,高中/中专及以上,3,2,是,是,云图教育有限公司,民营企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501008616,2025-01-02,2025-01,青岛,二线,软件开发,大模型API接入助理,脑力劳动,Python+AIGC,小时结,135.2,1082,12879,22,4,92.6,是,有作品集优先,不限,4,4,需培训后,是,明途信息服务有限公司,数字营销公司,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501008943,2025-01-02,2025-01,南京,新一线,数据服务,公开数据采集助理,脑力劳动,Python,小时结,90.3,722,7429,19,4,81.3,否,有课程项目经验,大专及以上,4,5,是,部分,灵犀文化传媒有限公司,民营企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501008993,2025-01-02,2025-01,上海,一线,商超零售,商超理货员,体力劳动,基础服务,日结,44.1,265,2673,14,6,50.5,否,无需经验,不限,2,2,是,是,青禾电子商务有限公司,民营企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501009257,2025-01-02,2025-01,合肥,二线,会展活动,活动执行助理,体力劳动,基础服务,小时结,30.3,121,1837,14,5,52.4,否,无需经验,不限,1,2,是,是,智谷电子商务有限公司,创业团队,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501009586,2025-01-02,2025-01,重庆,新一线,本地生活,校园配送员,体力劳动,基础服务,日结,21.4,171,2965,32,4,55.2,否,有相关经验优先,不限,1,2,是,是,数创电子商务有限公司,数字营销公司,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501010154,2025-01-02,2025-01,武汉,新一线,软件开发,大模型API接入助理,脑力劳动,Python+AIGC,项目结,210.0,1260,12730,14,4,85.1,是,有课程项目经验,大专及以上,5,4,需培训后,是,新橙电子商务有限公司,民营企业,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501010541,2025-01-02,2025-01,广州,一线,餐饮,饮品店店员,体力劳动,基础服务,日结,37.2,298,3222,20,6,60.6,否,无需经验,不限,1,3,是,是,星河数字创意有限公司,互联网企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501011751,2025-01-02,2025-01,深圳,一线,游戏动漫,AI角色素材制作,脑力劳动,AIGC,小时结,134.6,1077,10491,18,4,87.7,是,有课程项目经验,大专及以上,5,5,需培训后,是,海纳信息服务有限公司,数字营销公司,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501012358,2025-01-02,2025-01,郑州,二线,物流仓储,仓库分拣员,体力劳动,基础服务,小时结,25.4,152,3189,29,6,74.9,否,无需经验,不限,1,2,是,是,远望教育有限公司,互联网企业,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501013530,2025-01-02,2025-01,济南,二线,物流仓储,快递打包员,体力劳动,基础服务,小时结,28.1,112,3650,30,3,67.0,否,有相关经验优先,不限,2,3,是,是,海纳教育有限公司,教育机构,500人以上,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501013572,2025-01-02,2025-01,成都,新一线,物流仓储,快递打包员,体力劳动,基础服务,小时结,29.0,174,1884,15,3,71.9,否,无需经验,不限,2,2,是,是,极光信息服务有限公司,人力服务机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501013712,2025-01-02,2025-01,长沙,新一线,电子商务,AI商品图设计,脑力劳动,AIGC,项目结,111.1,889,7216,15,4,93.6,是,有作品集优先,大专及以上,5,4,需培训后,是,极光文化传媒有限公司,教育机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501014563,2025-01-02,2025-01,杭州,新一线,教育科技,Python编程助教,脑力劳动,Python,周结,93.0,558,6846,17,3,68.8,否,有课程项目经验,不限,3,5,需培训后,是,方舟电子商务有限公司,创业团队,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501014620,2025-01-02,2025-01,贵阳,二线,品牌营销,AI创意策划助理,脑力劳动,AIGC,周结,108.4,434,11734,25,3,91.0,是,有作品集优先,高中/中专及以上,5,4,需培训后,是,新橙文化传媒有限公司,数字营销公司,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501015178,2025-01-02,2025-01,广州,一线,品牌营销,AI创意策划助理,脑力劳动,AIGC,项目结,97.1,777,10091,24,1,93.8,否,有课程项目经验,高中/中专及以上,5,4,需培训后,是,云杉电子商务有限公司,教育机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501016220,2025-01-02,2025-01,杭州,新一线,数据服务,多模态数据处理助理,脑力劳动,Python+AIGC,项目结,199.4,1595,18995,22,5,93.0,是,有课程项目经验,不限,4,5,需培训后,部分,云杉教育有限公司,互联网企业,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501016554,2025-01-02,2025-01,郑州,二线,教育科技,AI学习工具开发助理,脑力劳动,Python+AIGC,小时结,194.6,778,10954,13,2,90.3,是,有课程项目经验,大专及以上,5,5,需培训后,是,灵犀电子商务有限公司,教育机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501016622,2025-01-02,2025-01,广州,一线,商超零售,门店促销员,体力劳动,基础服务,周结,41.4,166,5199,29,6,75.4,否,无需经验,不限,2,2,是,是,明途企业服务有限公司,创业团队,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501016705,2025-01-02,2025-01,贵阳,二线,文化传媒,AI文案创作助理,脑力劳动,AIGC,项目结,91.8,551,7552,19,4,75.3,是,有课程项目经验,大专及以上,4,5,是,是,明途电子商务有限公司,教育机构,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501016735,2025-01-02,2025-01,重庆,新一线,教育服务,教室管理助理,体力劳动,基础服务,日结,29.0,232,3139,25,3,53.1,否,无需经验,不限,1,2,是,是,灵犀文化传媒有限公司,教育机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501017236,2025-01-02,2025-01,广州,一线,软件开发,Web后端开发助理,脑力劳动,Python,项目结,123.9,991,7511,14,3,85.2,是,有课程项目经验,高中/中专及以上,4,4,需培训后,是,数创网络技术有限公司,人力服务机构,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501017368,2025-01-02,2025-01,郑州,二线,物流仓储,仓库分拣员,体力劳动,基础服务,小时结,31.9,255,3453,25,2,76.0,否,无需经验,高中/中专及以上,1,3,是,是,方舟科技有限公司,民营企业,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501018346,2025-01-02,2025-01,长沙,新一线,商超零售,商超理货员,体力劳动,基础服务,小时结,26.7,160,3006,26,2,51.8,否,无需经验,高中/中专及以上,2,1,是,是,远望信息服务有限公司,教育机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501018398,2025-01-02,2025-01,昆明,二线,电子商务,AI商品图设计,脑力劳动,AIGC,项目结,103.4,620,7164,16,1,72.2,否,有课程项目经验,大专及以上,3,5,需培训后,是,方舟文化传媒有限公司,民营企业,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501019334,2025-01-02,2025-01,石家庄,二线,教育科技,AI学习工具开发助理,脑力劳动,Python+AIGC,小时结,159.7,958,16596,24,5,84.3,是,有作品集优先,不限,4,4,需培训后,部分,智谷数字创意有限公司,创业团队,20人以下,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501019755,2025-01-02,2025-01,成都,新一线,教育服务,教室管理助理,体力劳动,基础服务,日结,20.8,166,2162,24,2,70.1,否,无需经验,不限,2,2,是,是,灵犀信息服务有限公司,教育机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501019869,2025-01-02,2025-01,昆明,二线,数据服务,Python数据清洗助理,脑力劳动,Python,小时结,81.7,327,5306,15,2,75.4,是,无需经验,大专及以上,4,3,需培训后,部分,新橙文化传媒有限公司,人力服务机构,20-99人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
PT202501019881,2025-01-02,2025-01,昆明,二线,电子商务,店铺运营助理,脑力劳动,普通数字岗位,小时结,45.6,182,4936,25,1,63.6,否,无需经验,不限,1,3,是,是,方舟文化传媒有限公司,创业团队,100-499人,模拟演示数据,按技能稀缺度、城市和时间趋势生成，非真实招聘报价
